,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,mode,speechiness,tempo,valence,target
56,0.00426,0.6459999999999999,283067,0.629,0.27699999999999997,8,0.122,0,0.0427,109.01299999999999,0.17600000000000002,1
57,0.193,0.598,238307,0.252,0.138,2,0.0992,1,0.0647,120.06,0.0359,1
58,0.0174,0.754,113373,0.442,9.4e-05,5,0.0622,0,0.127,148.04,0.599,1
59,0.000392,0.294,311360,0.7859999999999999,0.865,2,0.272,1,0.0378,81.108,0.136,1
60,0.435,0.622,287427,0.253,0.47100000000000003,2,0.0941,1,0.0331,92.584,0.32799999999999996,1
61,0.257,0.5589999999999999,225347,0.6559999999999999,0.000171,9,0.2,0,0.0469,79.638,0.6709999999999999,1
62,0.000145,0.54,293646,0.945,0.753,9,0.667,1,0.0406,92.995,0.87,1
63,0.273,0.7929999999999999,232251,0.7,0.0,0,0.174,0,0.0572,140.058,0.887,1
64,0.374,0.5489999999999999,223720,0.715,3.5000000000000004e-06,1,0.17,1,0.0633,82.118,0.785,1
65,0.00266,0.557,186397,0.607,0.7709999999999999,0,0.33,1,0.0578,73.061,0.259,1
66,0.000546,0.597,279240,0.444,0.051,2,0.335,0,0.03,120.074,0.361,1
67,0.007809999999999999,0.879,213786,0.512,1.4499999999999998e-05,0,0.134,1,0.0775,127.95,0.27699999999999997,1
68,0.125,0.726,334173,0.49700000000000005,0.89,10,0.10400000000000001,0,0.0433,125.00399999999999,0.47200000000000003,1
69,0.00158,0.857,134062,0.831,0.0,2,0.154,1,0.0995,106.059,0.251,1
70,0.0132,0.807,330920,0.778,0.6659999999999999,0,0.109,1,0.0399,120.001,0.797,1
71,0.7829999999999999,0.596,196627,0.639,0.569,0,0.331,1,0.03,124.012,0.19699999999999998,1
72,0.518,0.6829999999999999,155133,0.708,2.08e-05,4,0.175,0,0.0289,106.446,0.9670000000000001,1
73,0.0548,0.768,239908,0.853,0.13,10,0.0188,0,0.0427,107.234,0.887,1
74,0.727,0.506,160400,0.948,0.0,10,0.0904,1,0.105,130.195,0.9359999999999999,1
